"year"|"dollar"|"inflation"
1920|1000000|15.61
1921|895000|-10.5
1922|840000|-6.15
1923|855000|1.79
1924|855000|0
1925|875000|2.34
1926|885000|1.14
1927|870000|-1.69
1928|855000|-1.72
1929|855000|0
1930|835000|-2.34
1931|760000|-8.98
1932|685000|-9.87
1933|650000|-5.11
1934|670000|3.08
1935|685000|2.24
1936|695000|1.46
1937|720000|3.6
1938|705000|-2.08
1939|695000|-1.42
1940|700000|0.72
1941|735000|5
1942|815000|10.88
1943|865000|6.13
1944|880000|1.73
1945|900000|2.27
1946|975000|8.33
1947|1115000|14.36
1948|1205000|8.07
1949|1190000|-1.24
1950|1205000|1.26
1951|1300000|7.88
1952|1325000|1.92
1953|1335000|0.75
1954|1345000|0.75
1955|1340000|-0.37
1956|1360000|1.49
1957|1405000|3.31
1958|1445000|2.85
1959|1455000|0.69
1960|1480000|1.72
1961|1495000|1.01
1962|1510000|1
1963|1530000|1.32
1964|1550000|1.31
1965|1575000|1.61
1966|1620000|2.86
1967|1670000|3.09
1968|1740000|4.19
1969|1835000|5.46
1970|1940000|5.72
1971|2025000|4.38
1972|2090000|3.21
1973|2220000|6.22
1974|2465000|11.04
1975|2690000|9.13
1976|2845000|5.76
1977|3030000|6.5
1978|3260000|7.59
1979|3630000|11.35
1980|4120000|13.5
1981|4545000|10.32
1982|4825000|6.16
1983|4980000|3.21
1984|5195000|4.32
1985|5380000|3.56
1986|5480000|1.86
1987|5680000|3.65
1988|5915000|4.14
1989|6200000|4.82
1990|6535000|5.4
1991|6810000|4.21
1992|7015000|3.01
1993|7225000|2.99
1994|7410000|2.56
1995|7620000|2.83
1996|7845000|2.95
1997|8025000|2.29
1998|8150000|1.56
1999|8330000|2.21
2000|8610000|3.36
2001|8855000|2.85
2002|8995000|1.58
2003|9200000|2.28
2004|9445000|2.66
2005|9765000|3.39
2006|10080000|3.23
2007|10367100|2.85
2008|10765150|3.84
2009|10726850|-0.36
2010|10902800|1.64
2011|11246950|3.16
2012|11479700|2.07
2013|11647850|1.46
2014|11836800|1.62
2015|11850850|0.12
2016|12000350|1.26
2017|12256000|2.13
2018|12561500|2.49
2019|12782875|1.76
2020|12955050|NA
