year|dollar
1920|1000000
1921|895000
1922|840000
1923|855000
1924|855000
1925|875000
1926|885000
1927|870000
1928|855000
1929|855000
1930|835000
1931|760000
1932|685000
1933|650000
1934|670000
1935|685000
1936|695000
1937|720000
1938|705000
1939|695000
1940|700000
1941|735000
1942|815000
1943|865000
1944|880000
1945|900000
1946|975000
1947|1115000
1948|1205000
1949|1190000
1950|1205000
1951|1300000
1952|1325000
1953|1335000
1954|1345000
1955|1340000
1956|1360000
1957|1405000
1958|1445000
1959|1455000
1960|1480000
1961|1495000
1962|1510000
1963|1530000
1964|1550000
1965|1575000
1966|1620000
1967|1670000
1968|1740000
1969|1835000
1970|1940000
1971|2025000
1972|2090000
1973|2220000
1974|2465000
1975|2690000
1976|2845000
1977|3030000
1978|3260000
1979|3630000
1980|4120000
1981|4545000
1982|4825000
1983|4980000
1984|5195000
1985|5380000
1986|5480000
1987|5680000
1988|5915000
1989|6200000
1990|6535000
1991|6810000
1992|7015000
1993|7225000
1994|7410000
1995|7620000
1996|7845000
1997|8025000
1998|8150000
1999|8330000
2000|8610000
2001|8855000
2002|8995000
2003|9200000
2004|9445000
2005|9765000
2006|10080000
2007|10367100
2008|10765150
2009|10726850
2010|10902800
2011|11246950
2012|11479700
2013|11647850
2014|11836800
2015|11850850
2016|12000350
2017|12256000
2018|12561500
2019|12782875
2020|12955050
