md5_email|date_test|V00|V01|V02|V03|V04|V05|V06|V07|V08|V09|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60
b8cdc5fef066412beb9dd1d9ec1acad0|5/17/2007 10:15|1|4.2|1.8|1.8|2.6|3.4|5|2.6|2.6|1.8|1.8|1.8|1.8|5|4.2|1.8|1.8|1.8|1|2.6|3.4|1.8|1.8|2.6|1.8|3.4|2.6|1.8|1|4.2|2.6|1.8|2.6|4.2|1.8|4.2|3.4|2.6|4.2|2.6|2.6|3.4|2.6|3.4|2.6|3.4|3.4|3.4|2.6|2.6|3.4|5|1.8|2.6|4.2|4.2|3.4|2.6|3.4|3.4|4.2
b8cdc5fef066412beb9dd1d9ec1acad0|5/17/2007 10:15|1|4.2|1.8|1.8|2.6|3.4|5|2.6|2.6|1.8|1.8|1.8|1.8|5|4.2|1.8|1.8|1.8|1|2.6|3.4|1.8|1.8|2.6|1.8|3.4|2.6|1.8|1|4.2|2.6|1.8|2.6|4.2|1.8|4.2|3.4|2.6|4.2|2.6|2.6|3.4|2.6|3.4|2.6|3.4|3.4|3.4|2.6|2.6|3.4|5|1.8|2.6|4.2|4.2|3.4|2.6|3.4|3.4|4.2
1f16a6c017f12c1539c4947e234de78a|5/17/2007 10:15|1|4.2|1.8|1.8|2.6|3.4|5|2.6|2.6|1.8|1.8|1.8|1.8|5|4.2|1.8|1.8|1.8|1|2.6|3.4|1.8|1.8|2.6|1.8|3.4|2.6|1.8|1|4.2|2.6|1.8|2.6|4.2|1.8|4.2|3.4|2.6|4.2|2.6|2.6|3.4|2.6|3.4|2.6|3.4|3.4|3.4|2.6|2.6|3.4|5|1.8|2.6|4.2|4.2|3.4|2.6|3.4|3.4|4.2
b8cdc5fef066412beb9dd1d9ec1acad0|5/17/2007 17:06|1|5|5|1.8|5|4.2|2.6|2.6|3.4|2.6|4.2|2.6|4.2|3.4|4.2|1.8|3.4|4.2|2.6|4.2|2.6|1.8|2.6|4.2|4.2|4.2|2.6|1.8|3.4|3.4|3.4|1.8|1.8|3.4|3.4|3.4|2.6|1.8|1.8|3.4|3.4|3.4|4.2|1.8|3.4|3.4|4.2|3.4|5|3.4|3.4|1.8|1.8|3.4|3.4|3.4|4.2|2.6|2.6|2.6|2.6
b8cdc5fef066412beb9dd1d9ec1acad0|5/17/2007 17:06|1|5|5|1.8|5|4.2|2.6|2.6|3.4|2.6|4.2|2.6|4.2|3.4|4.2|1.8|3.4|4.2|2.6|4.2|2.6|1.8|2.6|4.2|4.2|4.2|2.6|1.8|3.4|3.4|3.4|1.8|1.8|3.4|3.4|3.4|2.6|1.8|1.8|3.4|3.4|3.4|4.2|1.8|3.4|3.4|4.2|3.4|5|3.4|3.4|1.8|1.8|3.4|3.4|3.4|4.2|2.6|2.6|2.6|2.6
1f16a6c017f12c1539c4947e234de78a|5/17/2007 17:06|1|5|5|1.8|5|4.2|2.6|2.6|3.4|2.6|4.2|2.6|4.2|3.4|4.2|1.8|3.4|4.2|2.6|4.2|2.6|1.8|2.6|4.2|4.2|4.2|2.6|1.8|3.4|3.4|3.4|1.8|1.8|3.4|3.4|3.4|2.6|1.8|1.8|3.4|3.4|3.4|4.2|1.8|3.4|3.4|4.2|3.4|5|3.4|3.4|1.8|1.8|3.4|3.4|3.4|4.2|2.6|2.6|2.6|2.6
b8cdc5fef066412beb9dd1d9ec1acad0|5/21/2007 12:31|1|3.4|2.6|2.6|4.2|4.2|4.2|5|4.2|4.2|5|4.2|4.2|4.2|1.8|4.2|4.2|4.2|5|4.2|1.8|2.6|4.2|4.2|2.6|1.8|4.2|1.8|4.2|2.6|4.2|5|4.2|4.2|5|5|5|3.4|5|3.4|4.2|3.4|4.2|4.2|4.2|4.2|5|4.2|3.4|4.2|1.8|4.2|5|3.4|4.2|4.2|4.2|3.4|5|5|3.4
b8cdc5fef066412beb9dd1d9ec1acad0|5/21/2007 12:31|1|3.4|2.6|2.6|4.2|4.2|4.2|5|4.2|4.2|5|4.2|4.2|4.2|1.8|4.2|4.2|4.2|5|4.2|1.8|2.6|4.2|4.2|2.6|1.8|4.2|1.8|4.2|2.6|4.2|5|4.2|4.2|5|5|5|3.4|5|3.4|4.2|3.4|4.2|4.2|4.2|4.2|5|4.2|3.4|4.2|1.8|4.2|5|3.4|4.2|4.2|4.2|3.4|5|5|3.4
1f16a6c017f12c1539c4947e234de78a|5/21/2007 12:31|1|3.4|2.6|2.6|4.2|4.2|4.2|5|4.2|4.2|5|4.2|4.2|4.2|1.8|4.2|4.2|4.2|5|4.2|1.8|2.6|4.2|4.2|2.6|1.8|4.2|1.8|4.2|2.6|4.2|5|4.2|4.2|5|5|5|3.4|5|3.4|4.2|3.4|4.2|4.2|4.2|4.2|5|4.2|3.4|4.2|1.8|4.2|5|3.4|4.2|4.2|4.2|3.4|5|5|3.4
b8cdc5fef066412beb9dd1d9ec1acad0|5/22/2007 2:07|1|2.12|1.16|1.16|5|4.04|4.04|5|2.12|4.04|3.08|5|5|4.04|2.12|5|3.08|4.04|5|4.04|2.12|4.04|4.04|4.04|2.12|3.08|5|3.08|4.04|2.12|4.04|4.04|3.08|5|4.04|1.16|5|2.12|5|4.04|5|3.08|4.04|5|4.04|4.04|5|5|5|4.04|1.16|2.12|5|5|4.04|1.16|5|2.12|5|4.04|2.12
b8cdc5fef066412beb9dd1d9ec1acad0|5/22/2007 2:07|1|2.12|1.16|1.16|5|4.04|4.04|5|2.12|4.04|3.08|5|5|4.04|2.12|5|3.08|4.04|5|4.04|2.12|4.04|4.04|4.04|2.12|3.08|5|3.08|4.04|2.12|4.04|4.04|3.08|5|4.04|1.16|5|2.12|5|4.04|5|3.08|4.04|5|4.04|4.04|5|5|5|4.04|1.16|2.12|5|5|4.04|1.16|5|2.12|5|4.04|2.12
1f16a6c017f12c1539c4947e234de78a|5/22/2007 2:07|1|2.12|1.16|1.16|5|4.04|4.04|5|2.12|4.04|3.08|5|5|4.04|2.12|5|3.08|4.04|5|4.04|2.12|4.04|4.04|4.04|2.12|3.08|5|3.08|4.04|2.12|4.04|4.04|3.08|5|4.04|1.16|5|2.12|5|4.04|5|3.08|4.04|5|4.04|4.04|5|5|5|4.04|1.16|2.12|5|5|4.04|1.16|5|2.12|5|4.04|2.12
6a44ff244d7cca75214ea57ea537fbeb|5/23/2007 16:53|1|2.6|3.4|1.8|2.6|2.6|5|3.4|2.6|2.6|4.2|3.4|2.6|4.2|3.4|2.6|3.4|1.8|2.6|4.2|1.8|2.6|4.2|5|4.2|4.2|2.6|3.4|4.2|2.6|4.2|3.4|3.4|1.8|1.8|2.6|1.8|2.6|4.2|3.4|4.2|4.2|2.6|3.4|1|5|3.4|2.6|3.4|2.6|2.6|2.6|4.2|3.4|2.6|2.6|1.8|2.6|1.8|3.4|4.2
4c966dbbcbbabc2a7b6e62c780cd2ece|6/22/2007 11:11|1|2.6|5|3.4|4.2|4.2|4.2|3.4|5|5|4.2|4.2|3.4|4.2|3.4|5|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2|4.2|2.6|4.2|3.4|4.2|3.4|4.2|4.2|3.4|5|3.4|2.6|4.2|3.4|3.4|2.6|2.6|4.2|2.6|2.6|2.6|4.2|2.6|3.4|1.8|3.4|3.4|4.2|4.2|2.6|4.2|1.8|2.6|2.6|2.6|4.2|5
7de7e82c97135208bde02c1930e1e236|5/26/2007 12:11|1|4.2|4.2|1.8|4.2|3.4|3.4|3.4|3.4|4.2|4.2|3.4|3.4|3.4|3.4|3.4|4.2|3.4|3.4|4.2|3.4|4.2|1.8|4.2|3.4|4.2|3.4|2.6|3.4|3.4|3.4|3.4|4.2|2.6|3.4|3.4|3.4|4.2|3.4|3.4|2.6|3.4|3.4|3.4|3.4|3.4|3.4|1.8|1.8|3.4|3.4|4.2|3.4|2.6|2.6|3.4|4.2|3.4|2.6|3.4|2.6
3cca22a67a2b25f3a5de893d995c2c03|5/31/2007 9:29|1|4.2|2.6|1.8|1.8|4.2|2.6|2.6|2.6|2.6|2.6|2.6|1.8|1.8|2.6|2.6|2.6|4.2|4.2|1.8|4.2|2.6|2.6|4.2|2.6|3.4|1.8|1.8|2.6|3.4|4.2|2.6|1.8|3.4|1.8|1.8|2.6|1.8|1.8|2.6|2.6|1.8|2.6|2.6|2.6|2.6|2.6|2.6|1.8|1.8|1.8|2.6|3.4|3.4|2.6|2.6|3.4|1.8|3.4|1.8|2.6
3cca22a67a2b25f3a5de893d995c2c03|5/31/2007 9:29|1|4.2|2.6|1.8|1.8|4.2|2.6|2.6|2.6|2.6|2.6|2.6|1.8|1.8|2.6|2.6|2.6|4.2|4.2|1.8|4.2|2.6|2.6|4.2|2.6|3.4|1.8|1.8|2.6|3.4|4.2|2.6|1.8|3.4|1.8|1.8|2.6|1.8|1.8|2.6|2.6|1.8|2.6|2.6|2.6|2.6|2.6|2.6|1.8|1.8|1.8|2.6|3.4|3.4|2.6|2.6|3.4|1.8|3.4|1.8|2.6
a1391926efca6713915dc5bd88df9ee5|5/31/2007 10:29|1|5|4.2|1.8|3.4|3.4|5|4.2|5|4.2|3.4|2.6|3.4|3.4|2.6|4.2|4.2|5|5|1.8|1.8|2.6|3.4|4.2|4.2|2.6|4.2|4.2|3.4|2.6|5|4.2|2.6|3.4|2.6|3.4|3.4|2.6|2.6|3.4|3.4|2.6|4.2|2.6|2.6|3.4|4.2|3.4|2.6|3.4|3.4|1.8|4.2|4.2|3.4|3.4|3.4|4.2|3.4|2.6|4.2
02bef9cdece8946cf293b76e26dfc3b2|5/31/2007 14:55|1|3.4|5|1|5|4.2|4.2|4.2|4.2|5|5|5|5|5|5|3.4|4.2|5|5|4.2|5|5|5|5|4.2|4.2|5|5|2.6|5|5|5|5|4.2|5|4.2|5|5|5|5|5|5|5|4.2|5|4.2|5|5|2.6|5|5|3.4|5|5|5|3.4|5|5|5|5|5
64f127b61e9d6a223bb1f8fac01f64c0|6/1/2007 14:12|1|2.6|1|5|3.4|4.2|4.2|3.4|3.4|2.6|2.6|1.8|1.8|1.8|1|4.2|2.6|4.2|3.4|2.6|3.4|1|2.6|3.4|4.2|2.6|3.4|3.4|4.2|1.8|4.2|1.8|2.6|4.2|1.8|4.2|1.8|2.6|3.4|3.4|3.4|2.6|2.6|2.6|1.8|2.6|3.4|4.2|4.2|2.6|2.6|1.8|3.4|3.4|1.8|1.8|2.6|3.4|1.8|1.8|4.2
3cd5d682536cb6d1d2d09196720330f6|6/1/2007 23:23|1|2.6|2.6|2.6|4.2|4.2|3.4|3.4|3.4|4.2|3.4|3.4|2.6|2.6|3.4|3.4|3.4|3.4|3.4|1.8|1.8|2.6|3.4|2.6|3.4|2.6|3.4|3.4|4.2|2.6|3.4|2.6|3.4|4.2|3.4|4.2|4.2|5|4.2|3.4|4.2|2.6|3.4|3.4|4.2|4.2|5|4.2|4.2|2.6|4.2|3.4|4.2|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2
7bd9eb104e5b5cf3bb9c0a8420188795|6/2/2007 17:39|1|2.6|5|2.6|3.4|5|5|3.4|3.4|4.2|4.2|1.8|3.4|2.6|4.2|5|5|5|4.2|2.6|1.8|1.8|4.2|5|4.2|1.8|5|4.2|3.4|3.4|5|3.4|1|5|3.4|3.4|4.2|4.2|5|3.4|3.4|1|4.2|4.2|2.6|4.2|5|5|3.4|3.4|1.8|2.6|5|5|5|4.2|5|4.2|4.2|4.2|5
6d94a743fa67ab12847bf28cbfd0e1eb|6/3/2007 9:56|1|1.8|5|1|5|3.4|4.2|4.2|1.8|2.6|4.2|4.2|4.2|4.2|5|3.4|3.4|5|5|2.6|1.8|4.2|2.6|4.2|2.6|2.6|2.6|4.2|1.8|4.2|2.6|4.2|2.6|2.6|3.4|4.2|3.4|5|4.2|2.6|2.6|5|3.4|3.4|4.2|2.6|2.6|2.6|1.8|4.2|3.4|4.2|4.2|1.8|2.6|2.6|3.4|2.6|4.2|2.6|1.8
5a32ca557a0b4796f4c0e5ce8b11b4eb|6/3/2007 10:18|1|3.4|2.6|4.2|3.4|3.4|4.2|3.4|3.4|5|3.4|3.4|4.2|3.4|2.6|3.4|4.2|5|3.4|3.4|2.6|3.4|5|4.2|4.2|2.6|5|3.4|3.4|3.4|5|3.4|3.4|4.2|3.4|4.2|4.2|4.2|5|4.2|3.4|4.2|4.2|3.4|4.2|4.2|3.4|3.4|3.4|4.2|3.4|3.4|4.2|4.2|4.2|4.2|5|3.4|4.2|4.2|4.2
b45423dfa8a8b1cb7cfd4d065c30472a|6/3/2007 19:55|1|2.6|1.8|4.2|3.4|4.2|4.2|2.6|4.2|5|2.6|3.4|1.8|2.6|3.4|3.4|4.2|4.2|4.2|3.4|2.6|1.8|2.6|3.4|4.2|3.4|4.2|2.6|2.6|2.6|4.2|4.2|2.6|4.2|2.6|3.4|4.2|3.4|4.2|4.2|2.6|1.8|3.4|2.6|3.4|4.2|4.2|4.2|2.6|2.6|3.4|2.6|4.2|4.2|4.2|4.2|3.4|2.6|3.4|2.6|4.2
6d150d5ceddf14306e6df7d2bc169f7d|6/6/2007 1:34|1|3.4|1.8|3.4|4.2|5|5|4.2|5|4.2|3.4|1.8|3.4|3.4|3.4|5|4.2|5|5|4.2|1|3.4|5|5|3.4|2.6|5|3.4|5|1.8|4.2|4.2|4.2|5|4.2|4.2|5|3.4|5|4.2|3.4|3.4|4.2|4.2|3.4|3.4|5|5|4.2|3.4|3.4|3.4|4.2|5|4.2|3.4|5|3.4|4.2|3.4|5
69206a1985c6339808b7b1fe89672e00|6/8/2007 14:01|1|4.2|5|1|4.2|4.2|1|5|2.6|5|5|3.4|5|5|5|3.4|5|3.4|5|4.2|1.8|5|3.4|4.2|2.6|1.8|5|5|3.4|1.8|4.2|4.2|3.4|2.6|5|2.6|4.2|5|4.2|4.2|5|5|5|2.6|3.4|3.4|1.8|1|3.4|5|5|5|3.4|3.4|5|3.4|4.2|5|5|5|2.6
cf8676079d913214398eebde4850efa2|6/8/2007 14:15|1|5|4.2|3.4|5|3.4|3.4|4.2|1|4.2|3.4|5|4.2|3.4|4.2|4.2|3.4|3.4|5|2.6|2.6|4.2|4.2|3.4|3.4|3.4|5|5|1|3.4|3.4|3.4|3.4|3.4|5|4.2|4.2|4.2|3.4|5|3.4|5|4.2|3.4|3.4|3.4|5|3.4|3.4|4.2|5|5|3.4|4.2|3.4|4.2|5|5|5|5|5
